SQ_CANDIDATO,VR_BEM_CANDIDATO,DS_CARGO,QT_VOTOS,NM_VOTAVEL
210000660443,54000000000.0,Vereador,240,ALESSANDRO LEOPOLDO GARCIA
210000660470,4211568360000.0,Prefeito,6026,CLEO WAGNER DOS SANTOS
210000660472,178500000000.0,Vereador,12,OLMIRO VIEIRA DOS SANTOS
210000660473,156000000000.0,Vereador,74,PEDRO DE OLIVEIRA VARGAS
210000660474,52000000000.0,Vereador,6,MARCELO LAWISCH BAYER
210000660475,2000000000.0,Vereador,23,IVANETE LENZ PREISLER
210000660476,5000000000.0,Vereador,126,TAINARA KUYVEN
210000660504,15000000000.0,Prefeito,4609,VITOR IVAN GONÇALVES RODRIGUES
210000660526,531000000000.0,Vereador,175,AURIOMAR ANTÔNIO GOMES
210000660527,5000000000.0,Vereador,55,JORGE LUIZ NIEDZULKA
210000660528,85000000000.0,Vereador,143,TRAUDE JESSE MARTINI DE SOUZA
210000660529,15000000000.0,Vereador,7,DEISE FÁTIMA RAMOS DOS SANTOS
210000660530,799806000000.0,Vereador,90,MARCELO SEIXAS TRENTIN
210000660531,503000000000.0,Vereador,200,JOÃO ARAÍ MACHADO GOULART
210000660532,33000000000.0,Vereador,5,JOÃO VALDIR DOS SANTOS ALVES
210000660533,84000000000.0,Vereador,18,JOCELI DOS SANTOS DE SOUZA
210000660534,640000000000.0,Vereador,166,CARLOS ALBERTO ANDREAZZA
210000660536,210500000000.0,Prefeito,1175,JOSÉ HENRIQUE HEBERLE
210000660539,8000000000.0,Prefeito,1764,MICHAEL KUHN
210000660573,5266589040000.0,Prefeito,4780,MÁRCIO MANETTI PORTO
210000660586,272500000000.0,Prefeito,1779,SÉRGIO OVÍDIO ROSO CORADINI
210000660589,384212230000.0,Vereador,179,ERONI ANTÔNIO GIROTTO
210000660590,100000000000.0,Vereador,69,JUSSARA DA SILVA
210000660591,519505310000.0,Vereador,171,MARA LUIZA DA SILVA GROSS
210000660592,448651220000.0,Vereador,1010,RAFAEL SCHMITT FIGLIERO
210000660593,53320000000.0,Vereador,133,RICARDO KUNSLER
210000660595,224210000000.0,Vereador,25,JORGE EDUARDO SOARES DE MORAES
210000660596,156913930000.0,Vereador,84,MARCELO SILVEIRA LAUER
210000660597,9000000000.0,Vereador,116,MARCO ANTONIO MONTEIRO
210000660602,113000000000.0,Vereador,1530,FERNANDO MOREIRA DA LUZ
210000660603,205000000000.0,Vereador,702,NAIRON BILHALVA DE SOUZA
210000660736,2704100000.0,Vereador,472,LUANA ROSA SALINES
210000660737,65206700000.0,Vereador,267,PLINIO ANTONIO TOMCZAK
210000660738,623003220000.0,Vereador,424,RUTE VIEGAS PEREIRA
210000660740,25000000000.0,Vereador,460,RAFAEL BISSOLOTTI
210000660741,752878460000.0,Vereador,617,SOLANGE BENICIA MENDES COUTO
210000660742,147276000000.0,Vereador,764,CLÁUDIO LUCIANO DUSIK
210000660743,8000000000.0,Vereador,1017,CRISTIANO COUTINHO MAYER
210000660744,6000000000.0,Vereador,202,CRISTIAN DIEGO MORAIS QUINTEIRO
210000660747,303857710000.0,Vereador,782,LUCIANO BATTISTELLO
210000660750,109444270000.0,Vereador,111,AMAURI PELLIN
210000660751,5003720000.0,Vereador,75,ROSANE MARIA BERTUZZO
210000660752,1378388220000.0,Vereador,237,SIDIMAR CAPITANIO
210000660753,205425890000.0,Vereador,22,VALTER GIROLAMO ORTOLAN
210000660754,2000000000.0,Vereador,8,INES PERONDI GRANDO
210000660755,123890910000.0,Vereador,228,LAIR GRANDO
210000660769,45000000000.0,Prefeito,23637,CARLOS AUGUSTO DA SILVA LOPES
210000660795,5000000000.0,Vereador,48,NELSON IRINEU SCHUSSLER
210000660796,420520000.0,Vereador,116,RENATA AZEVEDO PERES
210000660797,10800000000.0,Vereador,203,VALDENIR DA LUZ SILVEIRA
210000660798,106346950000.0,Vereador,245,ALBERTO RENAN OLIVEIRA DA CUNHA
210000660799,529200010000.0,Vereador,649,CARLOS ALBERTO GOMES CAETANO
210000660800,18000000000.0,Vereador,267,ELENARA ADAMOLI CARDOSO
210000660801,75000000000.0,Vereador,77,FRANKLIN PERES SILVEIRA
210000660802,1080000000000.0,Vereador,109,JOSÉ FERNANDO GUASTUCI GODINHO
210000660803,10000000000.0,Vereador,47,LETICIA MARQUES FERREIRA
210000660804,10000000000.0,Vereador,12,MANOEL FLORICIO OLIVEIRA MACHADO
210000660805,564000000000.0,Vereador,289,MARIA LUCIA MADRUGA CORRAL
210000660806,10000000000.0,Vereador,814,SERGIO MOACIR RODRIGUES DE CASTRO
210000660833,26918740000.0,Vereador,201,EDSON MACAGNAN
210000660834,100150630000.0,Vereador,34,GISELE FARDO ALBERTON
210000660835,293172690000.0,Vereador,149,JOCELI LUIZ SPAGNOLLO
210000660836,188000000000.0,Vereador,23,JONATAN DALMAS PERONDI
210000660837,216000000000.0,Vereador,151,SAMUEL BUCHI
210000660838,249000000000.0,Vereador,47,ZULMIR ANTONIO SAURIN
210000660839,5633320000.0,Vereador,26,MONICA FRANCIELE ALVES DE LIMA
210000660840,5000000000.0,Vereador,6,MARILEIA LERMEN RIGONI
210000660841,15000000000.0,Vereador,83,MILTON CARLOS INVERNIZZI
210000660859,4093419860000.0,Prefeito,1943,FRANCISCO DE ASSIS CARDOSO LUÇARDO
210000660861,2151980480000.0,Prefeito,16881,IVO DE LIMA FERREIRA
210000660875,330304700000.0,Vereador,175,ALEXANDRO VAZ ULGUIM
210000660876,567728960000.0,Vereador,207,MARCIO DE FARIAS LUÇARDO
210000660877,4000000000.0,Vereador,50,PAULO FABIANO DA LUZ TEIXEIRA
210000660879,80106000000.0,Vereador,11,CLEUSA MARIA DOS PASSOS SILVEIRA
210000660942,308500000000.0,Vereador,53,CLAUDETE TRASEL STEFFENS
210000660943,424000000000.0,Vereador,206,ERONI PUTZKE
210000660944,302900000000.0,Vereador,96,MARCOS ANTONIO HENGEN
210000660945,405000000000.0,Vereador,117,JANETE LESSE MAGNI
210000660947,185000000000.0,Vereador,73,MARCO JOEL HELFENSTEIN
210000660950,70000000000.0,Vereador,34,FABIANE CRISTINA RITTER
210000660951,71621380000.0,Vereador,164,TARCISO MACHADO LUZ
210000660952,513563680000.0,Vereador,12,MARILENE NUNES DA SILVEIRA
210000660953,284176290000.0,Vereador,319,JOSÉ ALEXANDRE BERGHAN DE MOURA
210000660954,333756750000.0,Vereador,86,AGLIBERTO SOUZA RAYMUNDO
210000660955,751485350000.0,Vereador,150,JOÃO FELISBERTO MENEZES CAVALHEIRO
210000660956,255112000000.0,Vereador,88,JOSÉ GILMAR PEREIRA SILVA
210000660957,70988240000.0,Vereador,117,MARIA CRISTINA MACHADO NEVES NUNES
210000661007,165000000000.0,Vereador,81,ALESSANDRO COLONES DA SILVA
210000661009,757520000.0,Vereador,240,MARCOS GELAIN
210000661010,14900000000.0,Vereador,100,NORBERTO DA CUNDA HERMES
210000661011,110000000000.0,Vereador,374,AMARO DA SILVA NASCIMENTO
210000661013,20444800000.0,Vereador,107,KELLY FERNANDA FONTOURA SILVEIRA
210000661020,128000000000.0,Vereador,117,PATRICK ALVES NUNES
210000661021,263038000000.0,Vereador,203,MARILÉIA DE OLIVEIRA FARIAS
210000661022,2248500000.0,Vereador,600,MAURO EUCLIDES LIMA DE CASTRO
210000661023,452072900000.0,Vereador,327,MIRIAM BUCHWEITZ DE ÁVILA
210000661024,36863000000.0,Vereador,61,ÉLBIO MEIRELES ORTIZ
210000661025,1200000000.0,Vereador,73,SÍLVIA VALÉRIA FURTADO GARCIA
210000661026,384563550000.0,Vereador,492,CLEUSA MARIA ANTUNES MANETTI
210000661027,165800000000.0,Vereador,281,JEFERSON PORTO DE ALMEIDA
210000661028,560500010000.0,Vereador,678,JIMMY CARTER PORTO GONÇALVES
210000661029,100000010000.0,Vereador,88,ANTONIO CARLOS LUZ DE FARIAS
210000661031,10000010000.0,Vereador,54,SANDRA GRAOSKE ULGUIM
210000661032,21950000.0,Vereador,13,CAIRO FERNANDO GONÇALVES DE OLIVEIRA
210000661033,1438040000000.0,Vereador,220,GIOVANI GONÇALVES MADRUGA
210000661034,116813870000.0,Prefeito,1647,TIAGO GRANDO
210000661063,12800000000.0,Vereador,78,CLARICE DA SILVEIRA SALDANHA
210000661064,2700000000.0,Vereador,51,DULCINARA STROM MACHADO
210000661065,81000000000.0,Vereador,22,VILNEI ROCHA DE ANDRADE
210000661066,20000000000.0,Vereador,30,JOÃO VALDEMIR MOTA MACHADO
210000661067,133000000000.0,Vereador,280,LEANDRO SILVA ANDRADE
210000661069,59354430000.0,Prefeito,1785,SANDRA REJANE SCHILLING TRENTINI
210000661076,120000000000.0,Vereador,101,MARIA APARECIDA LIMAS
210000661077,255900000000.0,Vereador,203,EVERTON IZIDORO POGOZELSKI
210000661078,15000000000.0,Vereador,670,IVANA COLVARA DE PAULA
210000661079,14000000000.0,Vereador,140,JOSE JULIO DA SILVA RODRIGUES
210000661081,150000000000.0,Vereador,166,MATHEUS SILVEIRA MEDEIROS DOMINGUES
210000661082,100000000000.0,Vereador,32,VERA LUCIA VASCONCELLOS DE ALMEIDA
210000661083,47000000000.0,Vereador,180,JOAO ELEM FERREIRA QUEVEDO
210000661084,1700000000.0,Vereador,381,ANDRE LUIS DA CUNHA PORTO
210000661085,110000000000.0,Vereador,45,DELAMAR MORALES MACIEL
210000661086,22000000000.0,Vereador,54,ELIZANDRO DE QUADROS POLLNOW
210000661087,23000000000.0,Vereador,33,CLAIR DE BARROS LOPES
210000661088,83000000000.0,Vereador,131,GUILHERME DA CRUZ FRONER
210000661090,50000000000.0,Vereador,19,MARIA DA GRAÇA RODRIGUES DA COSTA
210000661091,550000000000.0,Vereador,64,JESUS BORGES NUNES
210000661092,108000000000.0,Vereador,127,LUCIANO CASTRO GABRIEL
210000661093,114500000000.0,Vereador,43,JEFERSON DOS SANTOS MUNHOS
210000661094,50000000000.0,Vereador,18,MARIA HELENA MOTTA LEAL
210000661096,54000000000.0,Vereador,819,DAVID VINICIUS MADEIRA MARTINS
210000661097,9500000000.0,Vereador,161,TAINAH DE OLIVEIRA NUNES
210000661169,811000000000.0,Vereador,60,CLAUDIO FELIPE KONRAD
210000661172,199024000000.0,Vereador,250,RUDI SEGER
210000661173,285000000000.0,Vereador,110,JOSE PAULO STAUDT
210000661175,10000000000.0,Vereador,192,CLAUDIOMIR BATISTA ALVES DA CRUZ
210000661177,193900000000.0,Vereador,127,LUCIA TERESINHA PREDIGER
210000661178,420000000000.0,Vereador,155,TERESINHA PREDIGER BRAUN
210000661180,476354000000.0,Vereador,266,JULIANO HAMMES
210000661181,19500000000.0,Vereador,147,LINDOMAR PAZ PEREIRA
210000661184,990318180000.0,Prefeito,7136,DANILO JOSÉ BRUXEL
210000661196,1518000000000.0,Prefeito,1091,SEDIR LUIZ WASTOWSKI
210000661220,207000000000.0,Vereador,38,ADEMAR BINOTTO
210000661221,21580000000.0,Vereador,32,GELSON BRITTES
210000661224,35900000000.0,Vereador,94,GILDO LUIZ PADILHA DE LIMA
210000661225,193000000000.0,Vereador,188,IGNACIO LEVINSKI
210000661227,23500000000.0,Vereador,173,ADENILSON DE SOUZA
210000661239,253500000000.0,Vereador,71,ELOISA ELAINE GONÇALVES REYES
210000661240,11000000000.0,Vereador,611,JOSE AURI SOARES
210000661241,3500000000.0,Vereador,234,JOAO CARLOS AVILA DA SILVEIRA
210000661243,5100000000.0,Vereador,49,JORGE RODRIGUES DE ALMEIDA
210000661245,217349590000.0,Vereador,126,ANGELICA BARROSO PANATIERI
210000661246,40000000000.0,Vereador,379,ROGERIO DE OLIVEIRA
210000661259,569435890000.0,Prefeito,544,DEJAIR ANTONIO BURTET
210000661310,37000000000.0,Vereador,63,CELESTE DE OLIVEIRA
210000661311,230000000000.0,Vereador,139,CLEITON FERNANDES
210000661312,152300000000.0,Vereador,103,VALDECIR ANTONIO SILVESTRI
210000661313,377000000000.0,Vereador,15,WILSON ANDRE STEFFENS
210000661314,611500000000.0,Vereador,38,MARILETE GUERRA RE
210000661315,1500000000.0,Vereador,15,DEJANE DE OLIVEIRA
210000661385,43000000000.0,Vereador,97,ALCEMAR SIDNEI SILVA TEIXEIRA
210000661387,12686000000.0,Vereador,109,ANA LÚCIA MACHADO DA ROSA
210000661398,200000000000.0,Vereador,113,LUIS HORÁCIO FAGUNDES DE SOUZA
210000661435,20000000000.0,Prefeito,201,JERÔNIMO DILAMAR DA SILVA
210000661603,47000000000.0,Vereador,103,JANDIR ANTONIO ZEMINICHAK
210000661604,294600000000.0,Vereador,112,MOISES CAVANUS
210000661605,601100000000.0,Vereador,151,ROQUE ZANDAVALLI
210000661606,64650000000.0,Vereador,43,LAISA RAMOS ALESSI
210000661607,1200000000.0,Vereador,95,LOURDES MARIA CONFFERI MARCOLIN
210000661608,372675800000.0,Vereador,142,CLEUDOCIR SELLI
210000661609,115731920000.0,Vereador,104,GIOVANI BASSANI
210000661610,52100000000.0,Vereador,166,LUCI BOMBASSARO FELDMANN
210000661611,21300000000.0,Vereador,91,CARLA BASSANI
210000661612,12450000000.0,Vereador,184,RICARDO VEIRICH NICHELE
210000661613,3162728540000.0,Prefeito,1934,JULIANE PENSIN
210000661647,463000000000.0,Vereador,22,ANILDO JUNG
210000661648,50000000000.0,Vereador,240,WALDIR GARCIA PEREIRA
210000661649,100000000000.0,Vereador,38,CELIRIA FERNANDES
210000661651,100000000000.0,Vereador,15,BRAULINO RIBEIRO DA SILVA
210000661652,630000000000.0,Vereador,80,ELENITA RODRIGUES DE OLIVEIRA
210000661653,310000000000.0,Vereador,636,JOÃO PEDRO GASPAR DOS SANTOS
210000661654,20000000000.0,Vereador,78,MARGARETE PEREIRA
210000661655,212000000000.0,Vereador,35,JULITA TERESINHA MACHADO
210000661656,176000000000.0,Vereador,65,MAURO DE OLIVEIRA DE QUEVEDO
210000661657,65000000000.0,Vereador,548,ROBERTO RODRIGO EISMANN
210000661658,31000000000.0,Vereador,52,JONATAS LUIZ DA ROSA
210000661659,8000000000.0,Vereador,106,BIANCA DA SILVA MOUTINHO
210000661660,178000000000.0,Vereador,91,DÉCIO SERGIO CARVALHO
210000661661,19000000000.0,Vereador,465,ELIAS CAMPO TREIN
210000661662,23000000000.0,Vereador,72,PAULA REGINA RODRIGUES DA SILVA
210000661734,16000000000.0,Vereador,90,ROSILEI ANTONIO ANTUNES
210000661736,21000000000.0,Vereador,22,EGYDIO NUNES
210000661737,22130000000.0,Vereador,130,GILSO DA SILVA SARMENTO
210000661738,45000000000.0,Vereador,6,ADRIANA DIAS DA SILVA
210000661740,123000000000.0,Vereador,47,ERALDO LOPES DA CONCEIÇAO
210000661741,73050000000.0,Vereador,167,FLÁVIO WALDEMAR SCHMITZHAUS
210000661742,180000000000.0,Vereador,200,ROSANA KOVALSKI FORTES
210000661744,390000000000.0,Vereador,212,FÁTIMA CRISTINA MEDINA ANTUNES
210000661746,23500000000.0,Vereador,49,OTALIBIO LIBÓRIO SCHUSTER
210000661747,7000000000.0,Vereador,10,ROGÉRIO DOS SANTOS
210000661748,10000000000.0,Vereador,15,ADRIANA HENN
210000661751,10000000000.0,Vereador,30,ALBERTO ALFREDO BENCKE
210000661752,492262560000.0,Vereador,162,JORGE IENCZAK WISNIEWSKI
210000661754,17000000000.0,Vereador,59,ELIDIANE ORÇA MORAIS
210000661756,22800000000.0,Vereador,264,VERONICA KERN KAPPEL ETGES
210000661759,663748820000.0,Vereador,56,CARLOS DE OLIVEIRA POLI
210000661762,8000000000.0,Vereador,61,MOACIR MORAES DA ROSA
210000661763,412000000000.0,Vereador,713,RUBEM JOSE TOILLIER
210000661764,76000000000.0,Vereador,173,SANDRO DILAMAR DE BITTENCOURT
210000661766,19000000000.0,Vereador,81,YURI CAMINSCHI
210000661866,5300000000.0,Vereador,9,JULIANA TYBURSKI
210000661867,83137630000.0,Vereador,87,CLAUDIO ANTONIO CORSO
210000661868,97955670000.0,Vereador,97,LUIZ CARLOS TOAZZA
210000661869,3000000000.0,Vereador,17,DANIELA CRISTINA CERON
210000661870,3000000000.0,Vereador,63,CLEIMAR ARALDI
210000661871,344000000000.0,Vereador,132,ELOIR CARLOS PEGORARO
210000661872,510000000000.0,Vereador,68,PAULO CEZAR PAVINATO
210000661873,723786940000.0,Vereador,94,GIOVANI ADALBERTO BARUFFI
210000661874,559500000000.0,Vereador,10,RUTE TEREZINHA DOS SANTOS SALLES SCHMIDT
210000661879,20000000000.0,Vereador,514,JOICE CRISTIANE DA SILVA DILLENBURG
210000661880,297900000000.0,Vereador,194,VIANEI GREINER CALHEIRO
210000661881,208736930000.0,Vereador,553,JOSÉ VOLMAR WOGT
210000661883,96487830000.0,Vereador,256,BETYNA JUNGES
210000661884,224761310000.0,Vereador,120,DÓRIS BEATRIZ DA ROSA PETRY
210000661885,1101500000000.0,Vereador,162,JAIRO JACÓ NEIS
210000661886,372000000000.0,Vereador,155,EDER DE LARA MARQUES
210000661888,29000000000.0,Vereador,316,MAICON ANDERSON MERLO
210000661890,41007590000.0,Vereador,356,TÁSSILO WEBER
210000661892,263489900000.0,Vereador,27,RONILDO FRANCO
210000661894,250000000000.0,Vereador,731,CLÉO DA SILVA
210000661895,350000000000.0,Vereador,248,SANDRO LUIZ COELHO FLORES
210000661896,13744831430000.0,Prefeito,9751,DELMAR HOFF
210000661915,38000000000.0,Vereador,15,ANDRE VINICIUS ALVES DE MORAES
210000661916,350000000000.0,Vereador,89,CLOVIS ROBERTO AYMAI JUNG
210000661917,188000000000.0,Vereador,69,JOSE LAURI WEBER
210000661921,6200000000.0,Vereador,127,RODRIGO FLORES ROTH
210000661923,49000000000.0,Vereador,159,SONIA BERNADETE PADILHA GRIEBLER
210000661924,11400000000.0,Vereador,23,DANIELA PEIXE MULLER
210000661925,294827930000.0,Vereador,114,PAULO ANDRE KLEIN
210000661926,471004600000.0,Vereador,17,MARIETA CRISTINA WOLLMANN
210000661927,404821610000.0,Vereador,80,PEDRO GONÇALVES ALVES
210000661928,114232650000.0,Vereador,561,ROBERTO HENRIQUES DA SILVA
210000661929,388352710000.0,Vereador,625,LETÍCIA MARIA CHASSOT
210000661930,16497750000.0,Vereador,168,MARIANE RECH MULLER
210000661931,134618660000.0,Vereador,183,ANDRÉ RAUL PERSCH
210000661932,2122900000.0,Vereador,87,CAMILA SCHERER SCHUSTER
210000661933,115268970000.0,Vereador,411,FÁBIO LUIS JUWER
210000661934,3040700000.0,Vereador,212,JOSÉ VEIT
210000661935,140724420000.0,Vereador,310,VANDERLEI LUIS ARNHOLD
210000661936,67000000000.0,Vereador,199,INÁCIO WILIBALDO WEBER
210000661937,95426210000.0,Vereador,102,MAICON POERSCH
210000661938,709781690000.0,Vereador,273,MARIA LISETE SCHNEIDER LIELL
210000661939,123611640000.0,Vereador,66,VALDEMAR BRIXIUS
210000661952,37081860000.0,Vereador,9,MARILDA DE LOURDES DA SILVA
210000661953,145000000000.0,Vereador,610,NASARIO ELISEU BOHNEN
210000661955,276600000000.0,Vereador,46,NELI BORBA DE OLIVEIRA
210000661956,68245000000.0,Vereador,438,MARCELO DINIZ DA SILVA
210000661958,444100200000.0,Vereador,399,JOAO MARIO WERBERICH
210000661960,647054130000.0,Vereador,221,LEANDRO AGOSTINHO KROTH
210000661962,22000000000.0,Vereador,66,CLEISI MARIA DIESEL
210000661963,870000000000.0,Vereador,77,SILVERIO BATISTA FISCHER
210000661964,8463000000.0,Vereador,43,CATIA INES JANTSCH
210000661965,75000000000.0,Vereador,35,IONARA ROSA MACHADO
210000661969,601000000000.0,Vereador,67,JENI HELENA SPANIOL
210000661970,510005000000.0,Vereador,260,DÁRCIO ANTÔNIO SCHNEIDER
210000662143,65250000000.0,Vereador,91,PRISCILA DA SILVA VAZ
210000662144,6500000000.0,Vereador,9,MICHEL ALVES DA SILVA
210000662281,159000000000.0,Vereador,31,ANE KELLY PEREIRA OLIVEIRA
210000662283,217000000000.0,Vereador,57,MARCOS DISIUTA RODRIGUES
210000662284,300000000000.0,Vereador,170,ADRIANA REZENDE ALAME FARIAS
210000662290,21500000000.0,Vereador,71,PAULO RICARDO DE AZEVEDO
210000662293,76321000000.0,Vereador,47,EMERSON DE SOUZA OLIVEIRA
210000662294,1343400000000.0,Vereador,329,ROGERIO DA FONSECA SIPPEL
210000662297,96100000000.0,Vereador,21,ELISABETE DE ANDRADES DORNELES
210000662298,10400000000.0,Vereador,34,ALESSANDRO CHAGAS PACHECO
210000662299,12500000000.0,Vereador,37,MARCIO ADRIANO DE CARVALHO
210000662385,196184740000.0,Vereador,330,SILVIO ANTONIO BAIERLE
210000662386,318100000000.0,Vereador,236,ADILSON MATEUS DA SILVA
210000662387,220300000000.0,Vereador,80,JUAREZ ANTONIO ARCARI
210000662388,135895000000.0,Vereador,454,LUIZ ALCEU RIBEIRO
210000662389,42901790000.0,Vereador,34,MAURICIO UNFER
210000662390,1600000000.0,Vereador,15,NADIANE LUCIANE MEILI SPETH
210000662391,207955830000.0,Vereador,241,RENATO PAULO MERGEN
210000662392,302649280000.0,Vereador,494,LISANDRA MERGEN
210000662393,151714720000.0,Vereador,443,ELISANDRA DANIELA DEMICHEI
210000662440,175066330000.0,Prefeito,3415,DAVI GILMAR DE ABREU SOUZA
210000662444,4400000000.0,Vereador,131,TANIA MARIA LUNARDI
210000662445,505000000000.0,Vereador,778,DEIVID ARGENTA
210000662446,12963970000.0,Vereador,550,FRANCYELLE BONACI DE MATOS
210000662447,566508910000.0,Vereador,100,ADEMIR VANNI
210000662448,511000000000.0,Vereador,109,ANDRÉ BARTAIOLI DO PRADO
210000662449,22000000000.0,Vereador,126,ALINE DITADI DO AMARAL
210000662450,437246790000.0,Vereador,877,GILBERTO DO AMARANTE
210000662451,422600000000.0,Vereador,961,THIAGO PINTOS BRUNET
210000662452,376916080000.0,Vereador,309,JUELCI DE SOUZA
210000662453,11700000000.0,Vereador,14,DENIZE CARMO SASSO
210000662501,182000000000.0,Vereador,44,CARMEN LUCIA SCHIMANIAK
210000662502,69100000000.0,Vereador,170,GUILHERME FERRARI
210000662503,396000000000.0,Vereador,190,ALMIR JOSE LUDWIG OSMARI
210000662593,404000000000.0,Vereador,53,ALEXSANDER COUTINHO MARTIN
210000662594,860000000000.0,Vereador,258,BERNARDO CAIRUGA PEREIRA
210000662595,89000000000.0,Vereador,89,CLAUDIOMAR DAS NEVES MIRANDA
210000662596,70000000000.0,Vereador,50,CRISTIANO MORAES SOARES
210000662598,140000000000.0,Vereador,114,GETÚLIO GELSON VAZ AZZI
210000662599,111107000000.0,Vereador,259,NEIDA PUTEN OLIVEIRA DE LIMA
210000662601,290000000000.0,Vereador,240,GABRIELA RADI SILVEIRA
210000662603,42520500000.0,Vereador,312,CÍNTIA JARDIM D AVILA DANI
210000662604,220000000000.0,Vereador,225,PAULO CAMPOS SILVA
210000662737,7500000000.0,Vereador,99,MAIARA ANTUNES LANZARINI
210000662738,18000000000.0,Vereador,26,JEZIEL SAMPAIO MARIANO
210000662739,55000000000.0,Vereador,14,CRISTIANE SILVA DE ABREU
210000662740,5000000000.0,Vereador,77,DERLI ANTONIO CUSTODIO FERRAZ
210000662741,94000000000.0,Vereador,35,ALEX SANDRO PRADO DOS SANTOS
210000662742,7000000000.0,Vereador,17,JOSÉ ADELIO DE SOUZA NOGUEIRA
210000662743,550000000000.0,Vereador,128,LAURENI GARCIA PAGINI
210000662744,220000000000.0,Vereador,73,RAFAEL ROSA DA SILVA
210000662758,290150280000.0,Prefeito,3781,RODRIGO VELEDA MARTINS
210000662776,112747000000.0,Vereador,1908,LEANDRO GAUGER EHLERT
210000662778,180000000000.0,Vereador,90,EDIL SILVEIRA DA ROSA
210000662780,8000000000.0,Vereador,355,MILENE REDU DE MELO WAHAST
210000662782,279460930000.0,Vereador,913,DIEGO ROMAO HELVIG WOLTER
210000662783,50000000000.0,Vereador,882,LUCIANO ZANETTI BERTINETTI
210000662784,610818380000.0,Vereador,555,ILDO VENZKE
210000662785,270000000000.0,Vereador,17,LUCIA REJANE FOSTER DA SILVEIRA
210000662787,97511870000.0,Vereador,184,ODELMO PIEPER
210000662788,6000000000.0,Vereador,123,ROGER DUARTE DUARTE
210000662789,503203890000.0,Vereador,706,SILVIO VENZKE NEUTZLING
210000662792,3948380000.0,Vereador,382,LUCIARA LUNA LIRA
210000662793,289000000000.0,Vereador,93,PAULO RICARDO DA SILVA BRITO
210000662818,70000000000.0,Vereador,20,VILSON STEINDORFF FILHO
210000662820,34000000000.0,Vereador,8,CLOVIS DA ROCHA LEAL
210000662824,700000000000.0,Vereador,15,ADÃO DA SILVA NUNES
210000662825,15000000000.0,Vereador,83,JOÃO CARLOS ALVES DOS SANTOS
210000662828,15408270000.0,Vereador,16,LUIZ EDUARDO DA FÉ BRAGA
210000662830,379000000000.0,Vereador,69,JOSÉ FRANCISCO PROVIDEL DOS SANTOS
210000662832,35000000000.0,Vereador,56,VANDERSON DO NASCIMENTO FORTES
210000662833,4000000000.0,Vereador,56,ADILSON DA SILVA E CRUZ
210000662835,142000000000.0,Vereador,28,JAIR DA SILVA
210000662837,3500000000.0,Vereador,13,RONALDO DOS SANTOS ZUCCO
210000662838,753949640000.0,Vereador,91,LUCIANE DE CECCO CAVALHEIRO
210000663042,118000000000.0,Vereador,3,ERNI KRUGER
210000663043,4000000000.0,Vereador,72,LUCAS FERREIRA ROQUE
210000663044,302000000000.0,Vereador,15,ERMELINDA BECK
210000663045,2000000000.0,Vereador,24,GILDEMAR FRIEDERICH
210000663046,673500000000.0,Vereador,42,WILMAR ANTONIO MINNIKEL CORSO
210000663047,5000000000.0,Vereador,12,REGIANE PIRES KRUL
210000663048,3800000000.0,Vereador,145,ELIANE MARIA DA VEIGA DE OLIVEIRA
210000663049,2000000000.0,Vereador,6,MARAIZA CARVALHO BLANKE
210000663050,234000000000.0,Vereador,108,VALDIR DOS SANTOS
210000663051,778000000000.0,Vereador,146,CLAUDINEI DE MATOS
210000663052,285045210000.0,Vereador,124,ADILSON MARTIN
210000663053,7500000000.0,Vereador,27,PATRIK ANDERSON NAST
210000663054,1995000000000.0,Vereador,89,VALNIR VIEIRA SEVERO
210000663061,161500000000.0,Vereador,23,CARLOS JOSE LEÃO
210000663065,623000000000.0,Vereador,70,ROSE OLIVEIRA DE SOUZA
210000663066,2000000000.0,Vereador,74,ZELI FAGUNDES FERNANDES
210000663067,28500000000.0,Vereador,143,LEANDRO COSTA SIMÃO
210000663068,160000000000.0,Vereador,84,LUCIANA AMARAL DE OLIVEIRA
210000663069,5000000000.0,Vereador,12,NEWTON ANTONIO SARAIVA
210000663070,14000000000.0,Vereador,34,MARCIOLETE DE ALMEIDA SOUZA
210000663072,139023000000.0,Vereador,180,ANDRE PEREIRA DA SILVA
210000663073,222517790000.0,Vereador,9,FLAVIO ANDRIOLI
210000663074,175279610000.0,Vereador,132,MARCELO DUARTE DOS SANTOS
210000663128,14000000000.0,Vereador,209,SOLISMAR DA SILVEIRA FERREIRA
210000663129,236000000000.0,Vereador,31,ROSELI ANGELINA AGLIARDI
210000663130,37057000000.0,Vereador,521,SAMUEL SCHIMIDT SOUZA
210000663131,335000000000.0,Vereador,1106,JOÃO LUIS MOREIRA DA SILVA
210000663132,6500000000.0,Vereador,118,IAGO VALDIR SANTOS DA SILVA
210000663134,195000000000.0,Vereador,66,GUSTAVO BISSO TEIXEIRA
210000663136,138196000000.0,Vereador,77,NEIVA CRISTINA GOMES DOS SANTOS
210000663137,8400000000.0,Vereador,65,MAGDA ROSANE CARDOSO
210000663138,174000000000.0,Vereador,733,JORGE ELOY DE OLIVEIRA
210000663139,142000000000.0,Vereador,376,ERONITA ANDRADE DA SILVA
210000663142,7370000000.0,Vereador,30,HELVIS FRANCISCO GULARTE
